video_name,label
02522,5
02536,5
02578,6
02581,5
02588,6
02595,5
02630,6
02636,6
02638,6
02661,6
02675,6
02677,6
02681,5
02702,6
02724,6
02771,6
02772,6
02779,6
02818,6
02854,5
02860,6
02895,6
02900,6
02905,6
02925,6
02950,6
03030,5
03060,6
03093,6
03096,6
03099,6
03135,6
03138,3
03145,3
03164,6
03178,3
03187,3
03188,6
03191,6
03192,6
03194,3
03202,6
03204,3
03213,6
03230,6
03233,3
03234,3
03235,3
03238,3
03241,3
03250,3
03257,6
03259,5
03267,3
03271,0
03279,3
03281,0
03282,6
03284,0
03285,5
03287,6
03292,3
03295,6
03297,5
03298,3
03300,0
03304,0
03308,6
03310,0
03312,0
03315,6
03316,0
03317,3
03322,0
03325,6
03330,0
03331,0
03332,0
03338,3
03341,0
03343,1
03344,3
03347,3
03349,5
03351,6
03352,1
03353,6
03354,3
03357,1
03359,1
03361,6
03366,1
03367,1
03371,1
03372,0
03373,1
03374,6
03375,6
03376,1
03377,6
03379,3
03381,5
03383,3
03384,1
03385,0
03386,1
03387,6
03388,6
03391,0
03392,3
03393,3
03394,1
03395,1
03396,0
03397,1
03398,0
03401,0
03403,1
03405,1
03410,6
03415,0
03419,3
03422,0
03423,3
03424,3
03425,6
03426,0
03428,0
03429,1
03432,0
03434,0
03438,1
03439,1
03441,1
03443,0
03444,1
03445,1
03447,3
03448,0
03450,1
03452,3
03455,0
03462,3
03465,3
03466,3
03467,3
03469,6
03471,6
03472,1
03474,6
03477,1
03478,3
03479,0
03481,1
03482,6
03483,0
03484,3
03485,0
03486,6
03487,0
03490,3
03497,0
03498,0
03499,1
03501,1
03504,0
03507,3
03510,1
03511,0
03514,1
03516,3
03517,0
03518,1
03520,3
03523,1
03528,3
03529,0
03530,0
03536,6
03537,1
03538,3
03539,0
03540,0
03541,1
03542,0
03543,0
03546,3
03548,1
03550,3
03551,3
03552,3
03556,1
03557,6
03559,3
03560,3
03561,0
03563,0
03564,1
03566,0
03567,0
03569,3
03571,1
03572,1
03573,3
03580,6
03581,3
03588,0
03589,3
03590,2
03591,0
03592,2
03593,1
03594,2
03597,0
03598,0
03602,3
03603,0
03604,6
03605,2
03606,3
03609,0
03610,2
03613,2
03614,0
03615,1
03616,1
03617,1
03618,2
03620,0
03622,0
03623,6
03625,6
03626,1
03628,1
03629,2
03632,0
03633,6
03635,1
03636,3
03637,2
03638,6
03639,0
03641,1
03642,3
03644,2
03646,0
03648,2
03650,0
03652,3
03655,1
03658,2
03659,3
03661,2
03663,6
03664,0
03665,1
03666,2
03667,3
03669,1
03670,1
03671,6
03672,1
03673,2
03674,1
03675,6
03677,1
03678,0
03679,6
03683,1
03684,1
03685,6
03686,3
03692,3
03693,1
03694,3
03696,6
03697,1
03699,1
03700,1
03703,0
03704,2
03705,6
03706,1
03710,2
03711,3
03712,2
03715,3
03717,0
03718,3
03719,3
03723,2
03727,0
03730,0
03731,2
03732,1
03733,0
03734,3
03735,0
03736,3
03737,1
03739,1
03740,2
03741,6
03742,2
03743,0
03745,3
03749,2
03750,6
03753,1
03756,0
03758,3
03760,0
03761,0
03763,1
03764,3
03767,0
03768,2
03769,2
03772,3
03773,1
03775,3
03776,1
03777,3
03778,6
03779,6
03780,3
03781,2
03782,2
03784,1
03785,1
03786,1
03787,1
03788,1
03789,0
03793,3
03794,3
03797,6
03798,0
03799,6
03800,0
03801,2
03803,0
03804,1
03807,2
03810,0
03811,2
03812,1
03815,6
03816,3
03817,6
03818,1
03819,0
03820,0
03821,3
03822,3
03824,3
03826,0
03828,1
03830,2
03832,2
03833,6
03835,0
03836,3
03837,1
03840,0
03841,1
03842,3
03843,0
03845,0
03846,6
03848,0
03849,1
03853,2
03854,1
03855,3
03857,2
03858,0
03859,2
03860,3
03861,2
03862,2
03863,2
03864,2
03865,1
03867,0
03868,2
03869,2
03870,1
03872,2
03873,2
03876,3
03878,2
03880,2
03882,2
03883,5
03888,2
03893,2
03894,3
03896,3
03897,0
03900,2
03901,1
03902,1
03903,2
03904,0
03905,3
03906,3
03907,3
03909,2
03910,1
03911,1
03917,0
03919,2
03920,2
03922,0
03925,2
03926,3
03927,1
03928,3
03932,0
03936,6
03940,0
03941,2
03942,0
03943,3
03945,6
03947,0
03949,3
03951,2
03954,2
03955,0
03956,0
03960,1
03961,2
03964,3
03966,3
03968,1
03970,2
03971,6
03972,1
